Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Performance Optimization', 'Russian')",33,28,3,0.00418,0.003547,0.00038,0.007726
"('Compilation', 'Replacer')",16,255,4,0.002027,0.032299,0.000507,0.034326
"('Books', 'Utilities for Players')",38,63,1,0.004813,0.00798,0.000127,0.012793
"('Birthsigns', 'Tutorials for Modders')",3,12,1,0.00038,0.00152,0.000127,0.0019
"('Russian', 'Creatures')",28,46,3,0.003547,0.005826,0.00038,0.009373
"('Guilds / Factions', 'Magic - Enchantments')",20,39,2,0.002533,0.00494,0.000253,0.007473
"('Related to Movies/TV/Other Games', 'Locations - Buildings')",64,55,2,0.008106,0.006966,0.000253,0.015073
"('Creatures', 'Items - Ingredients')",46,21,2,0.005826,0.00266,0.000253,0.008486
"('Audio - Voices', 'Races - New')",22,22,1,0.002787,0.002787,0.000127,0.005573
"('Anime', 'Magic - Spells')",27,80,1,0.00342,0.010133,0.000127,0.013553
"('For male characters', 'Tutorials for Players')",180,18,1,0.022799,0.00228,0.000127,0.025079
"('Audio - Music', 'Magic - Enchantments')",26,39,2,0.003293,0.00494,0.000253,0.008233
"('Books', 'Magic - Spells')",38,80,20,0.004813,0.010133,0.002533,0.014946
"('For male characters', 'French')",180,41,6,0.022799,0.005193,0.00076,0.027992
"('Fair and balanced', 'Other languages')",292,30,9,0.036985,0.0038,0.00114,0.040785
"('Audio - Music', 'Clothing - Female')",26,86,1,0.003293,0.010893,0.000127,0.014186
"('Body models', 'Weapons')",31,176,4,0.003927,0.022293,0.000507,0.026219
"('Czech', 'Utilities for Modders')",8,26,1,0.001013,0.003293,0.000127,0.004307
"('Companions', 'Not Safe For Work')",85,39,2,0.010766,0.00494,0.000253,0.015706
"('Companion Friendly', 'Animation - New')",137,7,2,0.017353,0.000887,0.000253,0.018239
"('Birthsigns', 'New textures')",3,340,1,0.00038,0.043065,0.000127,0.043445
"('Environment - Sky', 'Creatures - Rideable')",21,5,2,0.00266,0.000633,0.000253,0.003293
"('Leveled Lists', 'Polish')",21,23,3,0.00266,0.002913,0.00038,0.005573
"('Items - Apparatus', 'Magic - Spells')",22,80,3,0.002787,0.010133,0.00038,0.01292
"('Animation - Modified', 'Russian')",17,28,2,0.002153,0.003547,0.000253,0.0057
"('Related to horses', 'Weapons')",16,176,1,0.002027,0.022293,0.000127,0.024319
"(""Modder's Resource"", 'Non-Playable Resource')",68,18,8,0.008613,0.00228,0.001013,0.010893
"('Not Lore-Friendly', 'English')",76,459,31,0.009626,0.058138,0.003927,0.067764
"('Races - Modified', 'NPCs')",31,115,7,0.003927,0.014566,0.000887,0.018493
"('Video', 'Non-Playable Resource')",11,18,1,0.001393,0.00228,0.000127,0.003673
"('Animation - Modified', 'Dragonborn')",17,41,2,0.002153,0.005193,0.000253,0.007346
"('Environment - Weather', 'New textures')",14,340,5,0.001773,0.043065,0.000633,0.044839
"('Face models', 'NPC Trainers')",37,8,2,0.004687,0.001013,0.000253,0.0057
"('Compilation', 'Dawnguard')",16,33,1,0.002027,0.00418,0.000127,0.006206
"('Related to vampires', 'Quests')",23,25,1,0.002913,0.003167,0.000127,0.00608
"('Animation - New', 'User Interface')",7,39,1,0.000887,0.00494,0.000127,0.005826
"('Fair and balanced', 'Audio - Voices')",292,22,9,0.036985,0.002787,0.00114,0.039772
"('SKSE (Skyrim Script Extender)', 'User Interface')",27,39,3,0.00342,0.00494,0.00038,0.00836
"('Lighting', 'Magic - Potions')",38,14,2,0.004813,0.001773,0.000253,0.006586
"('New models', 'Sexy/Skimpy')",100,103,15,0.012666,0.013046,0.0019,0.025712
"('Lighting', 'Russian')",38,28,2,0.004813,0.003547,0.000253,0.00836
"('New models', 'Magic - Enchantments')",100,39,6,0.012666,0.00494,0.00076,0.017606
"('Russian', 'Creatures - Rideable')",28,5,1,0.003547,0.000633,0.000127,0.00418
"('For female characters', 'Spanish')",209,45,3,0.026472,0.0057,0.00038,0.032172
"('Birthsigns', 'Magic - Spells')",3,80,1,0.00038,0.010133,0.000127,0.010513
"('Video', 'Utilities for Modders')",11,26,1,0.001393,0.003293,0.000127,0.004687
"('Translation', 'Locations - Player-Owned')",110,51,2,0.013933,0.00646,0.000253,0.020393
"('Face models', 'Items - Clutter')",37,46,1,0.004687,0.005826,0.000127,0.010513
"('New models', 'Locations - Caverns')",100,13,3,0.012666,0.001647,0.00038,0.014313
"('Solstheim', 'Animation - Modified')",10,17,1,0.001267,0.002153,0.000127,0.00342
"('Birthsigns', 'Books')",3,38,1,0.00038,0.004813,0.000127,0.005193
"(""Modder's Resource"", 'Utilities for Players')",68,63,9,0.008613,0.00798,0.00114,0.016593
"('Items - Apparatus', 'Magic - Potions')",22,14,2,0.002787,0.001773,0.000253,0.00456
"('Environment - Other', 'Utilities for Players')",62,63,8,0.007853,0.00798,0.001013,0.015833
"('Companions', 'Magic - Enchantments')",85,39,2,0.010766,0.00494,0.000253,0.015706
"('Scripted Events', 'Creatures')",23,46,4,0.002913,0.005826,0.000507,0.00874
"('Classes component', 'Items - Ingredients')",4,21,1,0.000507,0.00266,0.000127,0.003167
"('Races - New', 'Nudity')",22,64,3,0.002787,0.008106,0.00038,0.010893
"('For male characters', 'NPC Vendors')",180,33,6,0.022799,0.00418,0.00076,0.026979
"('Clothing - Male', 'Tutorials for Modders')",47,12,1,0.005953,0.00152,0.000127,0.007473
"('New models', 'Japanese')",100,21,1,0.012666,0.00266,0.000127,0.015326
"('Armor - Shields', 'Magic - Enchantments')",74,39,4,0.009373,0.00494,0.000507,0.014313
"('Cheating', 'Weapons')",50,176,11,0.006333,0.022293,0.001393,0.028626
"('Plants / Foliage', ""Modder's Resource"")",15,68,3,0.0019,0.008613,0.00038,0.010513
"('Environment - Weather', 'NPCs')",14,115,1,0.001773,0.014566,0.000127,0.016339
"('Classes component', 'Locations - Dungeons')",4,29,1,0.000507,0.003673,0.000127,0.00418
"('Humor, Joke or Just for Fun', 'Utilities for Players')",58,63,2,0.007346,0.00798,0.000253,0.015326
"('Animation - Modified', ""Modder's Resource"")",17,68,1,0.002153,0.008613,0.000127,0.010766
"('Lighting', 'Locations - Buildings')",38,55,3,0.004813,0.006966,0.00038,0.01178
"('Chargen', 'NPCs')",26,115,3,0.003293,0.014566,0.00038,0.017859
"('Leveled Lists', 'Magic - Potions')",21,14,2,0.00266,0.001773,0.000253,0.004433
"('For male characters', 'Dragonborn')",180,41,5,0.022799,0.005193,0.000633,0.027992
"('Czech', 'Spanish')",8,45,7,0.001013,0.0057,0.000887,0.006713
"('For male characters', 'Locations - World Map')",180,34,4,0.022799,0.004307,0.000507,0.027106
"('French', 'Creatures - Rideable')",41,5,1,0.005193,0.000633,0.000127,0.005826
"('Companion Friendly', 'New Lands')",137,18,5,0.017353,0.00228,0.000633,0.019633
"('Books', 'SKSE (Skyrim Script Extender)')",38,27,1,0.004813,0.00342,0.000127,0.008233
"('Body models', 'Locations - World Map')",31,34,2,0.003927,0.004307,0.000253,0.008233
"('Chargen', 'Scripted Events')",26,23,2,0.003293,0.002913,0.000253,0.006206
"('Creatures - Rideable', 'Items - Ingredients')",5,21,1,0.000633,0.00266,0.000127,0.003293
"('English', 'NPCs')",459,115,65,0.058138,0.014566,0.008233,0.072704
"('Audio - Sound FX', 'Environment - Sky')",40,21,4,0.005066,0.00266,0.000507,0.007726
"('Face models', 'Clothing - Female')",37,86,4,0.004687,0.010893,0.000507,0.015579
"('Animation - New', 'Video')",7,11,1,0.000887,0.001393,0.000127,0.00228
"('New models', 'Items - Ingredients')",100,21,2,0.012666,0.00266,0.000253,0.015326
"('Solstheim', 'Clothing - Male')",10,47,1,0.001267,0.005953,0.000127,0.00722
"('German', 'Dawnguard')",57,33,3,0.00722,0.00418,0.00038,0.0114
"('Not Lore-Friendly', 'Locations - Buildings')",76,55,1,0.009626,0.006966,0.000127,0.016593
"('German', 'Magic - Enchantments')",57,39,7,0.00722,0.00494,0.000887,0.01216
"('Compilation', 'Tutorials for Modders')",16,12,2,0.002027,0.00152,0.000253,0.003547
"('Related to Movies/TV/Other Games', 'Items - Ingredients')",64,21,2,0.008106,0.00266,0.000253,0.010766
"('Compilation', 'Translation')",16,110,1,0.002027,0.013933,0.000127,0.015959
"('Unrealistic', 'Items - Apparatus')",57,22,1,0.00722,0.002787,0.000127,0.010006
"('Performance Optimization', 'NPC Vendors')",33,33,1,0.00418,0.00418,0.000127,0.00836
"('Related to vampires', 'Races - New')",23,22,1,0.002913,0.002787,0.000127,0.0057
"('For male characters', 'Non-Playable Resource')",180,18,1,0.022799,0.00228,0.000127,0.025079
"('Audio - Voices', 'Video')",22,11,2,0.002787,0.001393,0.000253,0.00418
"('Face models', 'Nudity')",37,64,8,0.004687,0.008106,0.001013,0.012793
"('Compilation', 'Leveled Lists')",16,21,4,0.002027,0.00266,0.000507,0.004687
"('Audio - Music', 'Items - Leveled')",26,15,1,0.003293,0.0019,0.000127,0.005193
"('Environment - Sky', 'Unrealistic')",21,57,1,0.00266,0.00722,0.000127,0.00988
"('Compilation', 'Items - Leveled')",16,15,3,0.002027,0.0019,0.00038,0.003927
"('Nudity', 'Clothing - Female')",64,86,13,0.008106,0.010893,0.001647,0.018999
"('Italian', 'Items - Leveled')",29,15,2,0.003673,0.0019,0.000253,0.005573
"('Plants / Foliage', 'Dragonborn')",15,41,1,0.0019,0.005193,0.000127,0.007093
"('New textures', 'Locations - Player-Owned')",340,51,5,0.043065,0.00646,0.000633,0.049525
"('Companion Friendly', 'Dawnguard')",137,33,6,0.017353,0.00418,0.00076,0.021533
"('Companions', 'User Interface')",85,39,1,0.010766,0.00494,0.000127,0.015706
"('Audio - Sound FX', 'Scripted Events')",40,23,5,0.005066,0.002913,0.000633,0.00798
"('Video', 'Translation')",11,110,1,0.001393,0.013933,0.000127,0.015326
"('Gameplay Effects/Changes', 'Saved games')",168,98,2,0.021279,0.012413,0.000253,0.033692
"('Locations - Caverns', 'Locations - Dungeons')",13,29,9,0.001647,0.003673,0.00114,0.00532
"('Items - Apparatus', 'Items - Leveled')",22,15,3,0.002787,0.0019,0.00038,0.004687
"('Chargen', 'Companions')",26,85,2,0.003293,0.010766,0.000253,0.01406
"('Scripted Events', 'Sexy/Skimpy')",23,103,1,0.002913,0.013046,0.000127,0.015959
"('Body models', 'Spanish')",31,45,1,0.003927,0.0057,0.000127,0.009626
"('English', 'Locations - Player-Owned')",459,51,26,0.058138,0.00646,0.003293,0.064598
"('Translation', 'Magic - Enchantments')",110,39,3,0.013933,0.00494,0.00038,0.018873
"('Performance Optimization', 'Lore-Friendly')",33,322,10,0.00418,0.040785,0.001267,0.044965
"('Audio - Sound FX', 'Locations - Caverns')",40,13,1,0.005066,0.001647,0.000127,0.006713
"('Cheating', 'NPC Vendors')",50,33,1,0.006333,0.00418,0.000127,0.010513
"('Italian', 'NPC Vendors')",29,33,2,0.003673,0.00418,0.000253,0.007853
"('For female characters', 'Translation')",209,110,11,0.026472,0.013933,0.001393,0.040405
"('Cheating', 'Japanese')",50,21,2,0.006333,0.00266,0.000253,0.008993
"('Gameplay Effects/Changes', 'Clothing')",168,85,10,0.021279,0.010766,0.001267,0.032046
"('Races - New', 'Sexy/Skimpy')",22,103,2,0.002787,0.013046,0.000253,0.015833
"('Anime', 'Items - Ingredients')",27,21,1,0.00342,0.00266,0.000127,0.00608
"('Environment - Other', 'Scripted Events')",62,23,7,0.007853,0.002913,0.000887,0.010766
"('Performance Optimization', 'Environment - Water')",33,10,3,0.00418,0.001267,0.00038,0.005446
"('New models', 'Tutorials for Players')",100,18,2,0.012666,0.00228,0.000253,0.014946
"('Items - Apparatus', 'Items - Ingredients')",22,21,5,0.002787,0.00266,0.000633,0.005446
"('English', 'Other languages')",459,30,17,0.058138,0.0038,0.002153,0.061938
"('Poses', 'Animation - Modified')",5,17,2,0.000633,0.002153,0.000253,0.002787
"('Related to horses', 'New models')",16,100,1,0.002027,0.012666,0.000127,0.014693
"('Official', 'Clothing')",11,85,2,0.001393,0.010766,0.000253,0.01216
"('Gameplay Effects/Changes', 'Hearthfire')",168,12,3,0.021279,0.00152,0.00038,0.022799
"('Performance Optimization', 'NPCs')",33,115,2,0.00418,0.014566,0.000253,0.018746
"('Lore-Friendly', 'Hearthfire')",322,12,7,0.040785,0.00152,0.000887,0.042305
"('Nudity', 'Unrealistic')",64,57,16,0.008106,0.00722,0.002027,0.015326
"('New models', 'Not Safe For Work')",100,39,6,0.012666,0.00494,0.00076,0.017606
"('Clothing - Female', 'Locations - Dungeons')",86,29,2,0.010893,0.003673,0.000253,0.014566
"('Locations - Buildings', 'NPC Trainers')",55,8,1,0.006966,0.001013,0.000127,0.00798
"('Body models', 'Races - New')",31,22,3,0.003927,0.002787,0.00038,0.006713
"('Unbalanced', 'Czech')",32,8,1,0.004053,0.001013,0.000127,0.005066
"('New textures', 'Spanish')",340,45,8,0.043065,0.0057,0.001013,0.048765
"('Clothing - Male', 'Magic - Enchantments')",47,39,5,0.005953,0.00494,0.000633,0.010893
"('Gameplay Effects/Changes', 'SKSE (Skyrim Script Extender)')",168,27,5,0.021279,0.00342,0.000633,0.024699
"('Spanish', 'Creatures')",45,46,3,0.0057,0.005826,0.00038,0.011526
"('Lore-Friendly', 'SKSE (Skyrim Script Extender)')",322,27,14,0.040785,0.00342,0.001773,0.044205
"('For male characters', 'German')",180,57,6,0.022799,0.00722,0.00076,0.030019
"('Solstheim', 'Environment - Sky')",10,21,1,0.001267,0.00266,0.000127,0.003927
"('Environment - Water', 'Items - Clutter')",10,46,1,0.001267,0.005826,0.000127,0.007093
"('Audio - Sound FX', 'Items - Ingredients')",40,21,1,0.005066,0.00266,0.000127,0.007726
"('Related to Movies/TV/Other Games', 'Clothing')",64,85,8,0.008106,0.010766,0.001013,0.018873
"('New textures', 'Japanese')",340,21,5,0.043065,0.00266,0.000633,0.045725
"('Chargen', 'Dragonborn')",26,41,1,0.003293,0.005193,0.000127,0.008486
"('Fair and balanced', 'German')",292,57,21,0.036985,0.00722,0.00266,0.044205
"('Replacer', 'Solstheim')",255,10,1,0.032299,0.001267,0.000127,0.033566
"('New models', 'Magic - Potions')",100,14,4,0.012666,0.001773,0.000507,0.01444
"('Companions', 'Italian')",85,29,2,0.010766,0.003673,0.000253,0.01444
"('Scripted Events', 'Items - Ingredients')",23,21,2,0.002913,0.00266,0.000253,0.005573
"('Locations - Player-Owned', 'User Interface')",51,39,1,0.00646,0.00494,0.000127,0.0114
"('Environment - Sky', 'Locations - World Map')",21,34,2,0.00266,0.004307,0.000253,0.006966
"('Video', 'Clothing')",11,85,2,0.001393,0.010766,0.000253,0.01216
"('Chargen', 'For male characters')",26,180,3,0.003293,0.022799,0.00038,0.026092
"('Items - Leveled', 'Locations - Buildings')",15,55,3,0.0019,0.006966,0.00038,0.008866
"('Leveled Lists', 'Video')",21,11,2,0.00266,0.001393,0.000253,0.004053
"('Clothing - Male', 'Tutorials for Players')",47,18,1,0.005953,0.00228,0.000127,0.008233
"('Related to Movies/TV/Other Games', 'Magic - Potions')",64,14,2,0.008106,0.001773,0.000253,0.00988
"('New models', 'Clothing')",100,85,17,0.012666,0.010766,0.002153,0.023433
"('Faction: College of Winterhold', 'Czech')",8,8,1,0.001013,0.001013,0.000127,0.002027
"('Birthsigns', 'Clothing')",3,85,1,0.00038,0.010766,0.000127,0.011146
"('Items - Ingredients', 'SKSE (Skyrim Script Extender)')",21,27,1,0.00266,0.00342,0.000127,0.00608
"('Birthsigns', 'Items - Leveled')",3,15,1,0.00038,0.0019,0.000127,0.00228
"('Cheating', 'Clothing - Male')",50,47,2,0.006333,0.005953,0.000253,0.012286
"('Unbalanced', 'Italian')",32,29,1,0.004053,0.003673,0.000127,0.007726
"('Compilation', 'Clothing - Female')",16,86,4,0.002027,0.010893,0.000507,0.01292
"('Scripted Events', 'NPC Vendors')",23,33,3,0.002913,0.00418,0.00038,0.007093
"('Not Lore-Friendly', 'French')",76,41,1,0.009626,0.005193,0.000127,0.01482
"('Environment - Weather', 'Locations - Caverns')",14,13,1,0.001773,0.001647,0.000127,0.00342
"('Audio - Sound FX', 'Japanese')",40,21,1,0.005066,0.00266,0.000127,0.007726
"('Face models', 'Not Safe For Work')",37,39,1,0.004687,0.00494,0.000127,0.009626
"('Fair and balanced', 'User Interface')",292,39,5,0.036985,0.00494,0.000633,0.041925
"('Replacer', 'Weapons')",255,176,38,0.032299,0.022293,0.004813,0.054592
"('Guilds / Factions', 'Races - Modified')",20,31,1,0.002533,0.003927,0.000127,0.00646
"('Performance Optimization', 'Face models')",33,37,1,0.00418,0.004687,0.000127,0.008866
"('Books', 'Locations - Player-Owned')",38,51,2,0.004813,0.00646,0.000253,0.011273
"('Replacer', 'Books')",255,38,3,0.032299,0.004813,0.00038,0.037112
"('Locations - Dungeons', 'Plants / Foliage')",29,15,2,0.003673,0.0019,0.000253,0.005573
"('Chargen', 'Hearthfire')",26,12,1,0.003293,0.00152,0.000127,0.004813
"('Classes component', 'Environment - Weather')",4,14,1,0.000507,0.001773,0.000127,0.00228
"('Guilds / Factions', 'Quests')",20,25,3,0.002533,0.003167,0.00038,0.0057
"('Audio - Music', 'Tutorials for Modders')",26,12,2,0.003293,0.00152,0.000253,0.004813
"('For male characters', 'Scripted Events')",180,23,2,0.022799,0.002913,0.000253,0.025712
"('Anime', 'Not Lore-Friendly')",27,76,13,0.00342,0.009626,0.001647,0.013046
"('Items - Apparatus', 'Plants / Foliage')",22,15,1,0.002787,0.0019,0.000127,0.004687
"('Races - Modified', 'Spanish')",31,45,1,0.003927,0.0057,0.000127,0.009626
"('Locations - World Map', 'NPCs')",34,115,12,0.004307,0.014566,0.00152,0.018873
"('Czech', 'English')",8,459,7,0.001013,0.058138,0.000887,0.059151
"('Quests', 'Clothing')",25,85,2,0.003167,0.010766,0.000253,0.013933
"('Companions', 'NPC Vendors')",85,33,9,0.010766,0.00418,0.00114,0.014946
"('Creatures - Rideable', 'Locations - Buildings')",5,55,1,0.000633,0.006966,0.000127,0.0076
"('For female characters', 'NPC Vendors')",209,33,5,0.026472,0.00418,0.000633,0.030652
"('Related to Movies/TV/Other Games', 'Utilities for Players')",64,63,2,0.008106,0.00798,0.000253,0.016086
"('Lore-Friendly', 'Items - Furniture')",322,19,9,0.040785,0.002407,0.00114,0.043192
"('For female characters', 'Anime')",209,27,12,0.026472,0.00342,0.00152,0.029892
"('Environment - Other', 'Hair')",62,13,1,0.007853,0.001647,0.000127,0.0095
"('Chargen', 'Audio - Voices')",26,22,1,0.003293,0.002787,0.000127,0.00608
"('Races - Modified', 'Sexy/Skimpy')",31,103,2,0.003927,0.013046,0.000253,0.016973
"('New Lands', 'Russian')",18,28,2,0.00228,0.003547,0.000253,0.005826
"('Scripted Events', 'Items - Apparatus')",23,22,2,0.002913,0.002787,0.000253,0.0057
"('Audio - Voices', 'Face models')",22,37,1,0.002787,0.004687,0.000127,0.007473
"('Replacer', 'Saved games')",255,98,1,0.032299,0.012413,0.000127,0.044712
"('Items - Apparatus', 'Locations - Buildings')",22,55,7,0.002787,0.006966,0.000887,0.009753
"('Clothing', 'Locations - Dungeons')",85,29,2,0.010766,0.003673,0.000253,0.01444
"('Audio - Music', 'Hair')",26,13,1,0.003293,0.001647,0.000127,0.00494
"('Audio - Voices', 'Saved games')",22,98,1,0.002787,0.012413,0.000127,0.015199
"('Classes component', 'Utilities for Modders')",4,26,1,0.000507,0.003293,0.000127,0.0038
"('Environment - Sky', 'Locations - Player-Owned')",21,51,1,0.00266,0.00646,0.000127,0.00912
"('Classes component', 'Environment - Other')",4,62,1,0.000507,0.007853,0.000127,0.00836
"('Chargen', 'Italian')",26,29,1,0.003293,0.003673,0.000127,0.006966
"('New textures', 'Not Lore-Friendly')",340,76,14,0.043065,0.009626,0.001773,0.052692
"('Czech', 'SKSE (Skyrim Script Extender)')",8,27,1,0.001013,0.00342,0.000127,0.004433
"('Chargen', 'Locations - World Map')",26,34,1,0.003293,0.004307,0.000127,0.0076
"('Hair', 'Magic - Spells')",13,80,3,0.001647,0.010133,0.00038,0.01178
"('Cheating', 'Saved games')",50,98,3,0.006333,0.012413,0.00038,0.018746
"('Gameplay Effects/Changes', 'Books')",168,38,12,0.021279,0.004813,0.00152,0.026092
"('Quests', 'Locations - Dungeons')",25,29,12,0.003167,0.003673,0.00152,0.00684
"('Related to vampires', ""Modder's Resource"")",23,68,1,0.002913,0.008613,0.000127,0.011526
"('Armor - Shields', 'Dragonborn')",74,41,2,0.009373,0.005193,0.000253,0.014566
"('Companions', 'Environment - Water')",85,10,1,0.010766,0.001267,0.000127,0.012033
"('Scripted Events', 'Magic - Potions')",23,14,3,0.002913,0.001773,0.00038,0.004687
"('Environment - Weather', 'Creatures - Rideable')",14,5,2,0.001773,0.000633,0.000253,0.002407
"('Scripted Events', 'Russian')",23,28,2,0.002913,0.003547,0.000253,0.00646
"('Companion Friendly', 'Tutorials for Modders')",137,12,1,0.017353,0.00152,0.000127,0.018873
"('Saved games', 'Italian')",98,29,1,0.012413,0.003673,0.000127,0.016086
"('Environment - Weather', 'English')",14,459,6,0.001773,0.058138,0.00076,0.059911
"('Companion Friendly', 'Polish')",137,23,8,0.017353,0.002913,0.001013,0.020266
"('Quests', 'Clothing - Male')",25,47,3,0.003167,0.005953,0.00038,0.00912
"('Companions', 'Dawnguard')",85,33,2,0.010766,0.00418,0.000253,0.014946
"('Related to horses', 'Related to vampires')",16,23,1,0.002027,0.002913,0.000127,0.00494
"('Audio - Sound FX', 'Clothing - Male')",40,47,1,0.005066,0.005953,0.000127,0.01102
"('Races - Modified', 'Not Safe For Work')",31,39,2,0.003927,0.00494,0.000253,0.008866
"('Sexy/Skimpy', 'Locations - Player-Owned')",103,51,1,0.013046,0.00646,0.000127,0.019506
"('German', 'Locations - Dungeons')",57,29,3,0.00722,0.003673,0.00038,0.010893
"('Books', 'Locations - World Map')",38,34,6,0.004813,0.004307,0.00076,0.00912
"('For female characters', 'Magic - Spells')",209,80,8,0.026472,0.010133,0.001013,0.036605
"('New textures', 'Items - Ingredients')",340,21,5,0.043065,0.00266,0.000633,0.045725
"('Chargen', 'Environment - Sky')",26,21,2,0.003293,0.00266,0.000253,0.005953
"('Not Safe For Work', 'NPCs')",39,115,3,0.00494,0.014566,0.00038,0.019506
"('Related to horses', 'Environment - Weather')",16,14,1,0.002027,0.001773,0.000127,0.0038
"('Compilation', 'Creatures')",16,46,1,0.002027,0.005826,0.000127,0.007853
"('Armor - Shields', 'Locations - Dungeons')",74,29,5,0.009373,0.003673,0.000633,0.013046
"('Cheating', 'Humor, Joke or Just for Fun')",50,58,10,0.006333,0.007346,0.001267,0.01368
"('English', ""Modder's Resource"")",459,68,37,0.058138,0.008613,0.004687,0.066751
"('Lighting', 'Weapons')",38,176,1,0.004813,0.022293,0.000127,0.027106
"('Animation - New', 'Clothing - Male')",7,47,1,0.000887,0.005953,0.000127,0.00684
"('Other languages', 'Clothing')",30,85,1,0.0038,0.010766,0.000127,0.014566
"('Poses', 'NPCs')",5,115,1,0.000633,0.014566,0.000127,0.015199
"('Chargen', 'Not Lore-Friendly')",26,76,2,0.003293,0.009626,0.000253,0.01292
"('Birthsigns', 'French')",3,41,1,0.00038,0.005193,0.000127,0.005573
"('Audio - Music', 'Japanese')",26,21,2,0.003293,0.00266,0.000253,0.005953
"('Spanish', 'SKSE (Skyrim Script Extender)')",45,27,3,0.0057,0.00342,0.00038,0.00912
"('Unbalanced', 'New textures')",32,340,1,0.004053,0.043065,0.000127,0.047118
"('Non-Playable Resource', 'Tutorials for Players')",18,18,2,0.00228,0.00228,0.000253,0.00456
"('Audio - Sound FX', 'Other languages')",40,30,1,0.005066,0.0038,0.000127,0.008866
"('New Lands', 'Plants / Foliage')",18,15,2,0.00228,0.0019,0.000253,0.00418
"('Companions', 'Related to Movies/TV/Other Games')",85,64,4,0.010766,0.008106,0.000507,0.018873
"('For male characters', 'Items - Furniture')",180,19,2,0.022799,0.002407,0.000253,0.025206
"('Classes component', 'Polish')",4,23,1,0.000507,0.002913,0.000127,0.00342
"('Animation - Modified', 'Scripted Events')",17,23,2,0.002153,0.002913,0.000253,0.005066
"('Performance Optimization', 'Utilities for Modders')",33,26,5,0.00418,0.003293,0.000633,0.007473
"('Official', 'Locations - Player-Owned')",11,51,2,0.001393,0.00646,0.000253,0.007853
"('Companions', 'New Lands')",85,18,3,0.010766,0.00228,0.00038,0.013046
"('German', 'Other languages')",57,30,12,0.00722,0.0038,0.00152,0.01102
"('Performance Optimization', 'Italian')",33,29,2,0.00418,0.003673,0.000253,0.007853
"('For female characters', 'Official')",209,11,2,0.026472,0.001393,0.000253,0.027866
"('For male characters', 'Audio - Voices')",180,22,2,0.022799,0.002787,0.000253,0.025586
"('For male characters', 'Unbalanced')",180,32,1,0.022799,0.004053,0.000127,0.026852
"('Translation', 'Unrealistic')",110,57,1,0.013933,0.00722,0.000127,0.021153
"('Not Safe For Work', 'Nudity')",39,64,27,0.00494,0.008106,0.00342,0.013046
"('French', 'Tutorials for Modders')",41,12,2,0.005193,0.00152,0.000253,0.006713
"('Italian', 'Utilities for Modders')",29,26,3,0.003673,0.003293,0.00038,0.006966
"('Translation', 'Books')",110,38,2,0.013933,0.004813,0.000253,0.018746
"('Creatures - Rideable', 'Tutorials for Modders')",5,12,1,0.000633,0.00152,0.000127,0.002153
"('Humor, Joke or Just for Fun', 'Unrealistic')",58,57,18,0.007346,0.00722,0.00228,0.014566
"('Magic - Spells', 'Dawnguard')",80,33,2,0.010133,0.00418,0.000253,0.014313
"('Related to Movies/TV/Other Games', 'Magic - Enchantments')",64,39,1,0.008106,0.00494,0.000127,0.013046
"('Compilation', 'Birthsigns')",16,3,1,0.002027,0.00038,0.000127,0.002407
"('Russian', 'Items - Apparatus')",28,22,2,0.003547,0.002787,0.000253,0.006333
"('Performance Optimization', 'Non-Playable Resource')",33,18,2,0.00418,0.00228,0.000253,0.00646
"('Weapons', 'Utilities for Players')",176,63,1,0.022293,0.00798,0.000127,0.030272
"('Clothing', 'Magic - Potions')",85,14,4,0.010766,0.001773,0.000507,0.01254
"('Animation - Modified', 'Items - Clutter')",17,46,4,0.002153,0.005826,0.000507,0.00798
"('Other languages', 'NPCs')",30,115,3,0.0038,0.014566,0.00038,0.018366
"('Related to horses', ""Modder's Resource"")",16,68,1,0.002027,0.008613,0.000127,0.01064
"('English', 'Dragonborn')",459,41,23,0.058138,0.005193,0.002913,0.063331
"('Scripted Events', 'English')",23,459,15,0.002913,0.058138,0.0019,0.061051
"('Audio - Voices', 'Environment - Weather')",22,14,2,0.002787,0.001773,0.000253,0.00456
"('Italian', 'Locations - Caverns')",29,13,1,0.003673,0.001647,0.000127,0.00532
"('Saved games', 'Spanish')",98,45,2,0.012413,0.0057,0.000253,0.018113
"('New textures', ""Modder's Resource"")",340,68,22,0.043065,0.008613,0.002787,0.051678
"('Solstheim', 'Weapons')",10,176,1,0.001267,0.022293,0.000127,0.023559
"('Lore-Friendly', 'Plants / Foliage')",322,15,8,0.040785,0.0019,0.001013,0.042685
"('Chargen', 'User Interface')",26,39,1,0.003293,0.00494,0.000127,0.008233
"('Unbalanced', 'Russian')",32,28,1,0.004053,0.003547,0.000127,0.0076
"('Environment - Other', 'Locations - World Map')",62,34,9,0.007853,0.004307,0.00114,0.01216
"('Sexy/Skimpy', 'Polish')",103,23,3,0.013046,0.002913,0.00038,0.015959
"('Animation - Modified', 'New textures')",17,340,3,0.002153,0.043065,0.00038,0.045218
"('Related to vampires', 'Unrealistic')",23,57,3,0.002913,0.00722,0.00038,0.010133
"('Humor, Joke or Just for Fun', 'Magic - Potions')",58,14,1,0.007346,0.001773,0.000127,0.00912
